checking_account_status,loan_duration_mo,credit_history,purpose,loan_amount,savings_account_balance,time_employed_yrs,payment_pcnt_income,gender_status,other_signators,time_in_residence,property,age_yrs,other_credit_outstanding,home_ownership,number_loans,job_category,dependents,telephone,foreign_worker,bad_credit
0 - 200 DM,6,all loans at bank paid,education,433,>= 1000 DM,< 1 year,4,female-divorced/separated/married,none,2,building society savings/life insurance,24,bank,rent,1,skilled,2,none,yes,1
< 0 DM,8,critical account - other non-bank loans,other,1164,< 100 DM,>= 7 years,3,male-single,none,4,unknown-none,51,bank,for free,2,highly skilled,2,yes,yes,0
none,30,critical account - other non-bank loans,radio/television,5771,< 100 DM,4 - 7 years,4,female-divorced/separated/married,none,2,car or other,25,none,own,2,skilled,1,none,yes,0
< 0 DM,42,past payment delays,radio/television,4370,< 100 DM,4 - 7 years,3,male-single,none,2,building society savings/life insurance,26,bank,own,2,skilled,2,yes,yes,1
< 0 DM,6,critical account - other non-bank loans,furniture/equipment,1872,< 100 DM,unemployed,4,male-single,none,4,unknown-none,36,none,for free,3,highly skilled,1,yes,yes,0
< 0 DM,18,current loans paid,radio/television,3190,< 100 DM,1 - 4 years,2,female-divorced/separated/married,none,2,real estate,24,none,own,1,skilled,1,none,yes,1
none,11,current loans paid,business,2142,>= 1000 DM,>= 7 years,1,male-divorced/separated,none,2,real estate,28,none,own,1,skilled,1,yes,yes,0
none,36,critical account - other non-bank loans,car,7855,< 100 DM,1 - 4 years,4,female-divorced/separated/married,none,2,real estate,25,stores,own,2,skilled,1,yes,yes,1
< 0 DM,24,current loans paid,car,1207,< 100 DM,< 1 year,4,female-divorced/separated/married,none,4,building society savings/life insurance,24,none,rent,1,skilled,1,none,yes,1
0 - 200 DM,18,current loans paid,car,5866,100 - 500 DM,1 - 4 years,2,male-single,none,2,car or other,30,none,own,2,skilled,1,yes,yes,0
0 - 200 DM,12,current loans paid,radio/television,1103,< 100 DM,4 - 7 years,4,male-single,guarantor,3,real estate,29,none,own,2,skilled,1,none,no,0
none,24,current loans paid,car,1393,< 100 DM,1 - 4 years,2,male-single,guarantor,2,real estate,31,none,own,1,skilled,1,yes,yes,0
> 200 DM or salary assignment,10,current loans paid,repairs,1225,< 100 DM,1 - 4 years,2,male-single,none,2,car or other,37,none,own,1,skilled,1,yes,yes,0
none,10,critical account - other non-bank loans,furniture/equipment,2069,unknown/none,1 - 4 years,2,male-married/widowed,none,1,car or other,26,none,own,2,skilled,1,none,no,0
0 - 200 DM,30,all loans at bank paid,furniture/equipment,3496,>= 1000 DM,1 - 4 years,4,male-single,none,2,car or other,34,stores,own,1,skilled,2,yes,yes,0
0 - 200 DM,12,current loans paid,furniture/equipment,951,100 - 500 DM,< 1 year,4,female-divorced/separated/married,none,4,car or other,27,bank,rent,4,skilled,1,none,yes,1
< 0 DM,12,current loans paid,education,902,< 100 DM,4 - 7 years,4,male-married/widowed,none,4,building society savings/life insurance,21,none,rent,1,skilled,1,none,yes,1
< 0 DM,18,current loans paid,radio/television,2600,< 100 DM,1 - 4 years,4,male-single,none,4,unknown-none,65,none,for free,2,skilled,1,none,yes,1
< 0 DM,6,current loans paid,car,662,< 100 DM,< 1 year,3,male-single,none,4,real estate,41,none,own,1,unskilled-resident,2,yes,yes,0
< 0 DM,12,all loans at bank paid,car,697,< 100 DM,< 1 year,4,male-single,none,2,car or other,46,bank,own,2,skilled,1,yes,yes,1
0 - 200 DM,60,past payment delays,radio/television,7418,unknown/none,1 - 4 years,1,male-single,none,1,real estate,27,none,own,1,unskilled-resident,1,none,yes,0
< 0 DM,12,current loans paid,radio/television,1107,< 100 DM,1 - 4 years,2,male-single,none,2,real estate,20,none,rent,1,highly skilled,2,yes,yes,0
< 0 DM,24,current loans paid,radio/television,1603,< 100 DM,>= 7 years,4,female-divorced/separated/married,none,4,car or other,55,none,own,1,skilled,1,none,yes,0
< 0 DM,21,current loans paid,radio/television,3357,>= 1000 DM,< 1 year,4,female-divorced/separated/married,none,2,car or other,29,bank,own,1,skilled,1,none,yes,0
none,15,all loans at bank paid,radio/television,1569,100 - 500 DM,>= 7 years,4,male-single,none,4,car or other,34,bank,own,1,unskilled-resident,2,none,yes,0
< 0 DM,24,critical account - other non-bank loans,car,6419,< 100 DM,>= 7 years,2,female-divorced/separated/married,none,4,unknown-none,44,none,for free,2,highly skilled,2,yes,yes,0
none,48,current loans paid,radio/television,10222,unknown/none,4 - 7 years,4,male-single,none,3,car or other,37,stores,own,1,skilled,1,yes,yes,0
none,15,current loans paid,car,3029,< 100 DM,4 - 7 years,2,male-single,none,2,car or other,33,none,own,1,skilled,1,none,yes,0
0 - 200 DM,24,critical account - other non-bank loans,other,11938,< 100 DM,1 - 4 years,2,male-single,co-applicant,3,car or other,39,none,own,2,highly skilled,2,yes,yes,1
none,7,critical account - other non-bank loans,radio/television,730,unknown/none,>= 7 years,4,male-single,none,2,building society savings/life insurance,46,none,rent,2,unskilled-resident,1,yes,yes,0
none,12,current loans paid,radio/television,2141,100 - 500 DM,4 - 7 years,3,male-single,none,1,unknown-none,35,none,own,1,skilled,1,none,yes,0
> 200 DM or salary assignment,10,current loans paid,car,3949,< 100 DM,< 1 year,1,male-single,guarantor,1,building society savings/life insurance,37,none,own,1,unskilled-resident,2,none,yes,0
none,18,current loans paid,radio/television,1453,< 100 DM,< 1 year,3,female-divorced/separated/married,none,1,real estate,26,none,own,1,skilled,1,none,yes,0
none,24,critical account - other non-bank loans,radio/television,1516,>= 1000 DM,1 - 4 years,4,female-divorced/separated/married,none,1,real estate,43,none,own,2,unskilled-resident,1,none,yes,0
> 200 DM or salary assignment,15,current loans paid,radio/television,2327,< 100 DM,< 1 year,2,female-divorced/separated/married,none,3,real estate,25,none,own,1,unskilled-resident,1,none,yes,1
< 0 DM,6,critical account - other non-bank loans,car,1361,< 100 DM,< 1 year,2,male-single,none,4,real estate,40,none,own,1,unskilled-resident,2,none,no,0
none,10,current loans paid,car,1309,unknown/none,1 - 4 years,4,male-single,guarantor,4,building society savings/life insurance,27,none,own,1,unskilled-resident,1,none,yes,1
0 - 200 DM,7,current loans paid,radio/television,2329,< 100 DM,< 1 year,1,female-divorced/separated/married,guarantor,1,real estate,45,none,own,1,skilled,1,none,yes,0
none,12,current loans paid,radio/television,2073,100 - 500 DM,1 - 4 years,4,female-divorced/separated/married,co-applicant,2,real estate,28,none,own,1,skilled,1,none,yes,0
> 200 DM or salary assignment,12,current loans paid,car,1330,< 100 DM,< 1 year,4,male-single,none,1,real estate,26,none,own,1,skilled,1,none,yes,0
0 - 200 DM,21,critical account - other non-bank loans,furniture/equipment,2745,>= 1000 DM,4 - 7 years,3,male-single,none,2,car or other,32,none,own,2,skilled,1,yes,yes,0
< 0 DM,6,critical account - other non-bank loans,radio/television,338,500 - 1000 DM,>= 7 years,4,male-single,none,4,car or other,52,none,own,2,skilled,1,none,yes,0
0 - 200 DM,18,past payment delays,furniture/equipment,4297,< 100 DM,>= 7 years,4,male-divorced/separated,none,3,unknown-none,40,none,own,1,highly skilled,1,yes,yes,1
none,4,critical account - other non-bank loans,car,3380,< 100 DM,4 - 7 years,1,female-divorced/separated/married,none,1,real estate,37,none,own,1,skilled,2,none,yes,0
none,15,current loans paid,education,4623,100 - 500 DM,1 - 4 years,3,male-single,none,2,building society savings/life insurance,40,none,own,1,highly skilled,1,yes,yes,1
< 0 DM,24,current loans paid,furniture/equipment,3149,< 100 DM,< 1 year,4,male-single,none,1,unknown-none,22,bank,for free,1,skilled,1,none,yes,0
0 - 200 DM,7,current loans paid,radio/television,2576,< 100 DM,1 - 4 years,2,male-single,guarantor,2,real estate,35,none,own,1,skilled,1,none,yes,0
none,15,past payment delays,car,3594,< 100 DM,< 1 year,1,female-divorced/separated/married,none,2,building society savings/life insurance,46,none,own,2,unskilled-resident,1,none,yes,0
none,9,current loans paid,furniture/equipment,2301,100 - 500 DM,< 1 year,2,female-divorced/separated/married,none,4,building society savings/life insurance,22,none,rent,1,skilled,1,none,yes,0
none,24,critical account - other non-bank loans,education,1597,< 100 DM,>= 7 years,4,male-single,none,4,unknown-none,54,none,for free,2,skilled,2,none,yes,0
0 - 200 DM,24,no credit - paid,business,4241,< 100 DM,1 - 4 years,1,male-single,none,4,real estate,36,none,own,3,unskilled-resident,1,yes,yes,1
none,48,critical account - other non-bank loans,business,7629,unknown/none,>= 7 years,4,male-divorced/separated,none,2,car or other,46,bank,own,2,highly skilled,2,none,yes,0
> 200 DM or salary assignment,10,critical account - other non-bank loans,radio/television,1347,unknown/none,4 - 7 years,4,male-single,none,2,building society savings/life insurance,27,none,own,2,skilled,1,yes,yes,0
none,12,current loans paid,car,2133,unknown/none,>= 7 years,4,female-divorced/separated/married,none,4,unknown-none,52,none,for free,1,highly skilled,1,yes,yes,0
> 200 DM or salary assignment,10,critical account - other non-bank loans,car,781,< 100 DM,>= 7 years,4,male-single,none,4,unknown-none,63,none,for free,2,skilled,1,yes,yes,0
0 - 200 DM,48,all loans at bank paid,business,6416,< 100 DM,>= 7 years,4,female-divorced/separated/married,none,3,unknown-none,59,none,rent,1,skilled,1,none,yes,1
< 0 DM,12,all loans at bank paid,radio/television,626,< 100 DM,1 - 4 years,4,female-divorced/separated/married,none,4,real estate,24,bank,own,1,unskilled-resident,1,none,yes,1
< 0 DM,18,all loans at bank paid,radio/television,1940,< 100 DM,< 1 year,3,male-single,co-applicant,4,unknown-none,36,bank,for free,1,highly skilled,1,yes,yes,0
none,9,critical account - other non-bank loans,car,2134,< 100 DM,1 - 4 years,4,male-single,none,4,car or other,48,none,own,3,skilled,1,yes,yes,0
< 0 DM,21,critical account - other non-bank loans,car,1602,< 100 DM,>= 7 years,4,male-married/widowed,none,3,car or other,30,none,own,2,skilled,1,yes,yes,0
< 0 DM,30,current loans paid,repairs,11998,< 100 DM,< 1 year,1,male-divorced/separated,none,1,unknown-none,34,none,own,1,unskilled-resident,1,yes,yes,1
0 - 200 DM,9,current loans paid,radio/television,1082,< 100 DM,>= 7 years,4,male-single,none,4,car or other,27,none,own,2,unskilled-resident,1,none,yes,0
none,24,past payment delays,furniture/equipment,4151,100 - 500 DM,1 - 4 years,2,male-single,none,3,building society savings/life insurance,35,none,own,2,skilled,1,none,yes,0
0 - 200 DM,39,past payment delays,education,11760,100 - 500 DM,4 - 7 years,2,male-single,none,3,unknown-none,32,none,rent,1,skilled,1,yes,yes,0
none,24,critical account - other non-bank loans,furniture/equipment,2028,< 100 DM,4 - 7 years,2,male-single,none,2,building society savings/life insurance,30,none,own,2,unskilled-resident,1,none,yes,0
none,12,current loans paid,car,1413,>= 1000 DM,4 - 7 years,3,male-single,none,2,building society savings/life insurance,55,none,own,1,skilled,1,none,no,0
> 200 DM or salary assignment,24,current loans paid,car,947,< 100 DM,4 - 7 years,4,male-single,none,3,unknown-none,38,bank,for free,1,skilled,2,none,yes,1
< 0 DM,12,no credit - paid,repairs,1108,< 100 DM,4 - 7 years,4,male-single,none,3,real estate,28,none,own,2,skilled,1,none,yes,1
0 - 200 DM,18,critical account - other non-bank loans,business,1887,unknown/none,1 - 4 years,4,male-married/widowed,none,4,real estate,28,bank,own,2,skilled,1,none,yes,0
0 - 200 DM,18,no credit - paid,furniture/equipment,3244,< 100 DM,1 - 4 years,1,female-divorced/separated/married,none,4,car or other,33,bank,own,2,skilled,1,yes,yes,0
none,48,current loans paid,business,3914,unknown/none,1 - 4 years,4,male-divorced/separated,none,2,real estate,38,bank,own,1,skilled,1,none,yes,1
> 200 DM or salary assignment,6,critical account - other non-bank loans,education,1047,< 100 DM,1 - 4 years,2,female-divorced/separated/married,none,4,building society savings/life insurance,50,none,own,1,unskilled-resident,1,none,yes,0
none,18,current loans paid,furniture/equipment,3422,< 100 DM,>= 7 years,4,male-single,none,4,building society savings/life insurance,47,bank,own,3,skilled,2,yes,yes,0
< 0 DM,6,current loans paid,education,448,< 100 DM,< 1 year,4,female-divorced/separated/married,none,4,building society savings/life insurance,23,none,own,1,skilled,1,none,yes,1
none,24,current loans paid,radio/television,3621,100 - 500 DM,>= 7 years,2,male-single,none,4,car or other,31,none,own,2,skilled,1,none,yes,1
none,27,current loans paid,car,2570,< 100 DM,1 - 4 years,3,female-divorced/separated/married,none,3,real estate,21,none,rent,1,skilled,1,none,yes,1
> 200 DM or salary assignment,12,all loans at bank paid,radio/television,409,>= 1000 DM,1 - 4 years,3,female-divorced/separated/married,none,3,real estate,42,none,rent,2,skilled,1,none,yes,0
< 0 DM,12,current loans paid,education,1200,unknown/none,1 - 4 years,4,female-divorced/separated/married,none,4,building society savings/life insurance,23,bank,rent,1,skilled,1,yes,yes,0
none,36,critical account - other non-bank loans,radio/television,3342,unknown/none,>= 7 years,4,male-single,none,2,car or other,51,none,own,1,skilled,1,yes,yes,0
none,24,current loans paid,business,1258,< 100 DM,4 - 7 years,4,male-single,none,1,real estate,25,none,own,1,skilled,1,yes,yes,0
< 0 DM,12,critical account - other non-bank loans,car,2171,< 100 DM,1 - 4 years,4,male-single,none,4,building society savings/life insurance,38,bank,own,2,unskilled-resident,1,none,no,0
0 - 200 DM,15,critical account - other non-bank loans,business,2326,500 - 1000 DM,1 - 4 years,2,male-single,none,4,car or other,27,bank,own,1,skilled,1,none,yes,0
< 0 DM,24,critical account - other non-bank loans,business,1382,100 - 500 DM,4 - 7 years,4,male-single,none,1,real estate,26,none,own,2,skilled,1,yes,yes,0
0 - 200 DM,36,current loans paid,education,2273,< 100 DM,4 - 7 years,3,male-single,none,1,car or other,32,none,own,2,skilled,2,none,yes,0
0 - 200 DM,18,past payment delays,business,2427,unknown/none,>= 7 years,4,male-single,none,2,building society savings/life insurance,42,none,own,2,skilled,1,none,yes,0
none,24,critical account - other non-bank loans,radio/television,5103,< 100 DM,< 1 year,3,male-married/widowed,none,3,unknown-none,47,none,for free,3,skilled,1,yes,yes,0
> 200 DM or salary assignment,24,current loans paid,radio/television,1377,100 - 500 DM,>= 7 years,4,female-divorced/separated/married,none,2,unknown-none,47,none,for free,1,skilled,1,yes,yes,0
> 200 DM or salary assignment,36,current loans paid,radio/television,3913,< 100 DM,1 - 4 years,2,male-single,none,2,real estate,23,none,own,1,skilled,1,yes,yes,0
none,9,current loans paid,car,2507,500 - 1000 DM,>= 7 years,2,male-single,none,4,unknown-none,51,none,for free,1,unskilled-resident,1,none,yes,0
none,33,critical account - other non-bank loans,car,7253,< 100 DM,4 - 7 years,3,male-single,none,2,car or other,35,none,own,2,highly skilled,1,yes,yes,0
< 0 DM,47,current loans paid,car,10722,< 100 DM,< 1 year,1,female-divorced/separated/married,none,1,real estate,35,none,own,1,unskilled-resident,1,yes,yes,0
< 0 DM,45,no credit - paid,business,11816,< 100 DM,>= 7 years,2,male-single,none,4,car or other,29,none,rent,2,skilled,1,none,yes,1
none,12,critical account - other non-bank loans,car,926,< 100 DM,unemployed,1,female-divorced/separated/married,none,2,building society savings/life insurance,38,none,own,1,unemployed-unskilled-non-resident,1,none,yes,0
none,6,current loans paid,furniture/equipment,1766,< 100 DM,1 - 4 years,1,male-married/widowed,none,2,building society savings/life insurance,21,none,rent,1,skilled,1,none,yes,0
< 0 DM,12,current loans paid,car,759,< 100 DM,4 - 7 years,4,male-single,none,2,real estate,26,none,own,1,skilled,1,none,yes,1
none,12,current loans paid,car,2859,unknown/none,unemployed,4,male-single,none,4,unknown-none,38,none,own,1,highly skilled,1,yes,yes,0
none,18,no credit - paid,business,4165,< 100 DM,1 - 4 years,2,male-single,none,2,car or other,36,stores,own,2,skilled,2,none,yes,1
< 0 DM,24,all loans at bank paid,radio/television,1546,< 100 DM,4 - 7 years,4,male-single,guarantor,4,car or other,24,bank,rent,1,unskilled-resident,1,none,yes,1
none,12,current loans paid,education,1393,< 100 DM,>= 7 years,4,male-single,none,4,building society savings/life insurance,47,bank,own,3,skilled,2,yes,yes,0
> 200 DM or salary assignment,10,current loans paid,furniture/equipment,1275,< 100 DM,< 1 year,4,female-divorced/separated/married,none,2,building society savings/life insurance,23,none,own,1,skilled,1,none,yes,0
none,6,current loans paid,car,1236,500 - 1000 DM,1 - 4 years,2,male-single,none,4,building society savings/life insurance,50,none,rent,1,skilled,1,none,yes,0
